ext_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10FDR
Rps6ka3,1.3435695577514306,0.06913175281652875,0.024534864001108037,2.817694559603291,0.004836979951033647,0.009534114142540687,2.0207196529985683
Eif1ax,2.061581053918161,0.8313967129441218,0.017919766976071245,46.39550916338971,0,0,Inf
Sh3kbp1,1.481511653917888,-0.25039598637978655,0.02565937840272615,-9.758458776740419,1.6971469668161832e-22,7.498405710571592e-22,21.125031065235394
Pdha1,1.6098961705639037,0.5475476906757956,0.019605751794747932,27.92791097266032,1.2229296090098223e-171,1.8320306635074915e-170,169.7370672616285
Rai2,1.0780761709126532,0.13582507980340847,0.026891389364262448,5.050876247543923,4.3978793592741454e-7,1.1824570283854494e-6,5.927214632978461
Reps2,1.172824437845223,-0.15863312595000195,0.028084637854630355,-5.648394925763584,1.619527899675659e-8,4.6471488407294916e-8,7.332813417542152
Rbbp7,1.9636256067923021,0.90138447453674575,0.017943038774266146,50.23588734754944,0,0,Inf
Syap1,1.3290760442947,0.11907415946870588,0.02432101236165823,4.895937623732505,9.783809901713343e-7,2.5769340835741498e-6,5.588896690298976
Ap1s2,1.6186398356907574,-0.2070816238228979,0.024236516145791066,-8.544199280838466,1.2943052924326524e-17,5.122262761720838e-17,16.290538146867508
Zrsr2,1.388460778446282,0.32401056896405367,0.022448818734091238,14.43330149358837,3.1941782641953307e-47,2.085918807917536e-46,45.68070260001286
Siah1b,1.0659596464951515,0.11904958440344457,0.027178127966071174,4.380345274408324,1.1849140468005162e-5,2.923277643354733e-5,4.534129934813409
Figf,1.1496844119318592,-0.15823445568706157,0.02836431423598361,-5.578645560424717,2.4239858695827585e-8,6.89770355854603e-8,7.161295474168992
Mospd2,1.275719196183893,-0.21495747236762933,0.027380062931342243,-7.850875759732651,4.131420798742566e-15,1.5259418781610993e-14,13.81646200797657
Gemin8,1.0842391139942702,0.09713148030966383,0.027116521667122865,3.582003676652594,3.409689929043164e-4,7.52564356940792e-4,3.123456354645572
Gpm6b,1.430052222793007,-0.32810159120764204,0.027243996670624295,-12.043078523842867,2.1093431425895876e-33,1.1361443715352696e-32,31.944566478680223
Ofd1,1.0964843318714956,0.09163304713048095,0.027001831907424872,3.393586310908187,6.89838160691953e-4,0.0014814870576563659,2.829302138185263
Trappc2,1.1929562492964558,0.10247659647071052,0.025808540215834164,3.9706467554425506,7.167778793826455e-5,1.6669726866375297e-4,3.778071516032692
Tmsb4x,155.4281486917231,-0.7291731074588675,0.031083369829443652,-23.458624707034176,1.07941704601185e-121,1.228399955144552e-120,119.91066020808738
Tlr7,1.1655355800224447,-0.17305458730392215,0.028294161946901004,-6.116264819176821,9.579408692732032e-10,2.9212336386243924e-9,8.534433707008802
Arhgap6,1.1116102791799913,-0.08963432831058465,0.028268905339939372,-3.170774645594285,0.0015203303762375744,0.003168018270903427,2.4992123223699
Hccs,1.2357868447963123,0.11362659597963272,0.02526629409210029,4.497161141457583,6.886679429482474e-6,1.724128549448468e-5,4.763430356704569
Mid1,1.1677217533864892,0.11863413291882015,0.025959508943174423,4.569968298649687,4.877979968317193e-6,1.231284419153908e-5,4.909641616116923
Zfhx4,1.2999553605910976,0.10434619797802058,0.024694764636240304,4.225438043855232,2.3847643186842694e-5,5.762723885287915e-5,4.23937218867278
Pex2,1.396818376937951,0.21973136439345106,0.023048223327073306,9.533548910702647,1.519963075825893e-21,6.571631313744011e-21,20.182326809646284
Pkia,1.1301286658813814,0.2959108052611254,0.025101432774007323,11.788602185590884,4.4689660126657353e-32,2.3613201830827274e-31,30.62684512079162
Stmn2,1.2383745842949427,-0.2811199139829678,0.02875655535505979,-9.775854948965716,1.4294530319497089e-22,6.3270590166791145e-22,21.19879811456906
Hey1,1.148949843235843,0.18167753948712148,0.025715716223440765,7.064844622974806,1.6079580999087658e-12,5.473599394187815e-12,11.261726991226263
Mrps28,1.7179966085432177,0.30097012662355904,0.020298947675830743,14.826883217296716,9.818713739650392e-50,6.569303885965092e-49,48.18248064786809
Tpd52,3.0730964164324113,-1.0976102393480591,0.03019122910337063,-36.35526846522187,2.16936311796898e-289,5.342147370436655e-288,287.2722841355425
Zfp704,1.1514398656554639,0.08369087884976666,0.026405460115016998,3.1694535329142393,0.0015272587646646806,0.00318020539712275,2.4975448297148395
Fabp5,19.058223806038757,-1.9166410302473424,0.045386321886389344,-42.229485681722835,0,0,Inf
Fabp4,16.178142397754705,-3.0948515977044253,0.04988716931235703,-62.03702555915178,0,0,Inf
Impa1,1.3079543983792303,0.09008658076387628,0.024728317710770067,3.6430533535502234,2.6942296510088605e-4,5.988713334453807e-4,3.2226664750681557
Zfand1,1.1744526373073172,0.323321700726316,0.024426659055295584,13.236427462077398,5.405977455846126e-40,3.1856112050736316e-39,38.49680722972592
1810022K09Rik,1.7514202685346327,0.42318014944174986,0.019436157410093306,21.772829912459446,4.19889296451536e-105,4.37910041044286e-104,103.35861509655227
Car3,1.8209855805605608,-0.7651994918816546,0.036961598282146894,-20.702554203432797,3.284913695117997e-95,3.1950884461233565e-94,93.49551711524215
Car2,1.0779886449997402,0.11499446270072135,0.02706213263645483,4.24927570363818,2.1446282914882935e-5,5.203789128432462e-5,4.28368031053737
Gm9733,1.1320621453577844,-0.15034618167075647,0.02852494026900508,-5.270692252215552,1.3591018388388535e-7,3.7381646766419415e-7,6.427341570645367
Sirpb1a,1.117559773655008,-0.1282720544756393,0.028520289791843116,-4.497571918512745,6.873391423381354e-6,1.721094407425843e-5,4.764195306604708
Sirpb1b,1.1470805886713273,-0.16180290545984674,0.02842926904595242,-5.691419825051155,1.2598731103020911e-8,3.6349708899507437e-8,7.439499062764884
Sirpb1c,1.4650054474895509,-0.5145201718485577,0.028107769885381693,-18.30526484124056,7.512580837379835e-75,6.343478521287584e-74,73.19767252629511
Gm5150,1.2745803082498162,-0.29503735652931734,0.028056857553083688,-10.515694994391495,7.313955168498532e-26,3.4355758791486245e-25,24.46400045506031
Armc1,1.3652428721073817,0.3008957341407532,0.022787206890106517,13.204590434968694,8.254746229366538e-40,4.8526703781896865e-39,38.314019207509176
Mtfr1,1.1458508775048772,0.12436263687337241,0.02616204299915896,4.753552193051985,1.9987347571759395e-6,5.1619375717595375e-6,5.28718725209829
